participant_id	age	group_poly_analysis	nlang	advanced_lang_total_count	Sex	edu	Hand_index	entropy_competence_speak	entropy_competence_read	entropy_competence_compr	linguistic_group	subgroup	subgroup_extremes
sub-pp128	26.5	C	1.0	1	m	16.0	80	0.0	0.0	0.0	1-lingual	1	0
sub-pp107	24.3	C	2.0	2	m	19.0	50	0.7	0.7	0.7	2-lingual	1	0
sub-pp050	21.5	C	2.0	1	f	15.0	60	0.5	0.3	0.5	1-lingual	1	0
sub-pp171	26.1	C	3.0	1	m	17.0	30	0.9	0.9	1.0	1-lingual	1	0
sub-pp147	27.2	C	3.0	1	f	15.0	100	1.0	1.0	1.0	1-lingual	1	1
sub-pp145	28.5	C	3.0	1	m	13.0	-90	1.0	0.9	0.9	1-lingual	1	1
sub-pp035	18.8	C	3.0	1	f	12.0	65	1.1	1.1	1.1	1-lingual	1	0
sub-pp054	23.3	C	3.0	1	m	16.0	60	0.9	0.9	0.9	1-lingual	1	0
sub-pp074	24.8	C	3.0	1	f	15.0	20	0.9	0.7	0.9	1-lingual	1	0
sub-pp073	21.7	C	3.0	1	f	15.0	100	1.1	1.1	1.1	1-lingual	1	0
sub-pp038	21.6	C	3.0	1	f	15.0	70	0.8	0.9	0.9	1-lingual	1	0
sub-pp078	21.8	C	3.0	1	m	14.0	50	1.1	1.1	1.1	1-lingual	1	0
sub-pp072	23.1	C	3.0	1	m	16.0	100	0.8	0.9	0.9	1-lingual	1	0
sub-pp006	37.6	C	3.0	1	f	21.0	55	0.8	0.9	0.9	1-lingual	1	0
sub-pp085	20.8	C	3.0	1	f	16.0	60	0.9	1.1	1.1	1-lingual	1	0
sub-pp095	19.9	C	3.0	1	f	14.0	60	1.1	1.1	1.1	1-lingual	1	0
sub-pp018	18.4	C	3.0	1	f	12.0	-65	1.0	1.0	1.0	1-lingual	1	1
sub-pp013	26.9	C	3.0	2	f	17.0	85	1.1	1.0	1.1	2-lingual	1	0
sub-pp001	21.3	C	3.0	1	f	15.0	60	1.0	1.1	1.1	1-lingual	1	1
sub-pp010	29.2	C	3.0	2	m	16.0	80	1.1	1.1	1.1	2-lingual	1	0
sub-pp120	22.8	C	3.0	1	f	15.0	55	0.9	1.0	1.0	1-lingual	1	0
sub-pp118	20.2	C	3.0	1	f	15.0	80	0.8	0.8	0.8	1-lingual	1	0
sub-pp163	25.0	C	3.0	1	f	16.0	85	0.9	1.0	1.0	1-lingual	1	0
sub-pp160	21.2	C	3.0	1	f	15.0	45	1.0	1.1	1.1	1-lingual	1	1
sub-pp158	20.8	C	3.0	1	f	16.0	15	0.8	1.0	0.9	1-lingual	1	0
sub-pp168	22.0	C	3.0	1	f	15.0	75	0.8	0.9	0.9	1-lingual	1	0
sub-pp170	23.1	C	4.0	1	f	18.0	85	1.2	1.3	1.2	1-lingual	0	0
sub-pp114	20.5	C	4.0	1	f	15.0	55	1.1	1.1	1.2	1-lingual	1	0
sub-pp117	19.9	C	4.0	2	f	13.0	80	1.0	1.1	1.0	2-lingual	1	1
sub-pp024	20.8	C	4.0	1	f	13.0	85	1.4	1.4	1.4	1-lingual	0	0
sub-pp020	29.8	C	4.0	1	m	18.0	100	1.4	1.3	1.4	1-lingual	0	0
sub-pp008	20.2	C	4.0	2	f	15.0	60	1.3	1.4	1.3	2-lingual	0	0
sub-pp135	24.9	C	4.0	1	f	17.0	70	1.0	0.8	1.1	1-lingual	1	1
sub-pp009	19.5	C	4.0	1	f	13.0	25	1.1	1.0	1.2	1-lingual	1	0
sub-pp045	36.4	C	4.0	1	f	17.0	75	1.2	1.0	1.3	1-lingual	0	0
sub-pp022	24.6	C	4.0	1	f	17.0	70	1.1	1.2	1.2	1-lingual	1	0
sub-pp021	27.3	C	4.0	2	f	17.0	80	1.3	1.3	1.0	2-lingual	0	0
sub-pp004	19.5	C	4.0	2	f	14.0	-15	1.3	1.2	1.3	2-lingual	0	0
sub-pp069	22.6	C	4.0	2	f	16.0	40	1.3	1.4	1.4	2-lingual	0	0
sub-pp126	21.8	C	4.0	1	f	15.0	70	1.1	1.0	1.2	1-lingual	1	0
sub-pp137	18.7	C	4.0	1	f	12.0	35	1.2	1.3	1.2	1-lingual	0	0
