Participant,Cluster_1_Mean
sub-pp128,11.894066615075042
sub-pp107,79.38837133754383
sub-pp050,57.16909596497362
sub-pp171,57.86345420273867
sub-pp147,42.723568590771066
sub-pp145,81.90359668390317
sub-pp035,39.07943178399043
sub-pp054,11.509215555218134
sub-pp074,65.94432798480446
sub-pp073,41.14551474602385
sub-pp038,40.527815008204094
sub-pp078,54.38726805686273
sub-pp072,9.531814999671822
sub-pp006,34.64419140026439
sub-pp085,87.40628970113667
sub-pp095,47.38018666757779
sub-pp018,32.398434363170104
sub-pp013,16.04847748249769
sub-pp001,-0.5634728363901377
sub-pp010,51.14462513299151
sub-pp120,28.686381075030024
sub-pp118,36.863809628215705
sub-pp163,43.35468448983336
sub-pp160,27.132227760770103
sub-pp158,82.66514491796494
sub-pp168,23.600421345664017
sub-pp170,24.73140611312606
sub-pp114,53.035829265361485
sub-pp117,79.07365018088709
sub-pp024,53.415591160881924
sub-pp020,32.17664026758887
sub-pp008,32.18225217148662
sub-pp135,66.84898847319863
sub-pp009,41.45431336587126
sub-pp045,19.36360350653529
sub-pp022,91.83985997243362
sub-pp021,54.837649638436055
sub-pp004,52.68693043427542
sub-pp069,47.69119791496884
sub-pp126,15.361632574254816
sub-pp137,81.29932585063305
sub-pp067,63.283383602174844
sub-pp166,63.760980221141466
sub-pp111,50.85630943211642
sub-pp099,8.723864062651991
sub-pp151,96.62557369199666
sub-pp152,31.62211912764067
sub-pp156,45.929901200952855
sub-pp149,62.2419242560999
sub-pp159,28.856653399123726
sub-pp116,-0.9285762864063409
sub-pp115,8.78491668208079
sub-pp108,42.558519505452026
sub-pp007,108.61780328924006
sub-pp105,71.11534937885675
sub-pp124,54.154165251227944
sub-pp030,27.44858631868254
sub-pp164,32.870119293901055
sub-pp155,15.31387470650402
sub-pp150,37.48360618635673
sub-pp162,66.43518457084895
sub-pp106,20.764315053224564
sub-pp076,4.542320593199269
sub-pp048,82.71625497832895
sub-pp042,17.360727416574957
sub-pp052,77.31278904446147
sub-pp068,81.01038344296542
sub-pp092,81.75815026218241
sub-pp093,63.11119195797227
sub-pp032,57.40582277178764
sub-pp125,37.45366505834189
sub-pp023,68.9719678239389
sub-pp025,98.41802764345299
sub-pp033,39.04182008643042
sub-pp112,98.34733174104582
sub-pp019,29.94794467357072
sub-pp110,13.55419037817554
sub-pp027,37.96474265456115
sub-pp077,47.93593655876138
sub-pp127,29.004489092159677
sub-pp044,46.23922679502856
sub-pp091,92.75568967471068
sub-pp161,44.82649474305524
sub-pp039,79.5310331548344
sub-pp031,102.47828500487587
sub-pp036,26.55020007435571
sub-pp043,64.4594875589555
sub-pp034,82.58361011664975
sub-pp129,68.5000045786798
sub-pp046,45.84789950777184
sub-pp061,72.93352017131718
sub-pp083,2.7112666642716663
sub-pp088,14.287101655009796
sub-pp041,64.51100827910683
sub-pp012,13.998715880531606
sub-pp051,51.13305312472311
sub-pp053,25.58594864584167
sub-pp133,76.77474315486171
sub-pp169,25.949336367252876
sub-pp011,51.663296551704406
sub-pp003,95.06969669179483
sub-pp080,7.49271226359362
sub-pp136,16.569589513255792
sub-pp094,49.7865996118482
sub-pp142,29.635884500010448
sub-pp005,33.29246616302566
sub-pp026,81.18934446733107
sub-pp132,28.051459503796966
sub-pp002,81.21931872183626
sub-pp139,63.61448440502313
sub-pp066,43.9305048532784
sub-pp029,33.06738848730329
sub-pp060,102.19489535678517
sub-pp119,38.34528011548756
sub-pp130,39.40160818655382
sub-pp167,121.58352975671941
sub-pp070,15.92621123322836
sub-pp059,82.48029561129484
sub-pp028,63.53372726250779
sub-pp064,51.959981666586614
sub-pp143,46.15433130198074
