Z-stat/Contrast Type	MNI Coordinates (X,Y,Z)	P-value	Z-Score	Anatomical Area (Atlas Matches)
Multilingual Positive	-28, -58, 4	0.0033	4.89	[Harvard-Oxford Subcortical] 47% Left Lateral Ventricle, 36% Left Cerebral White Matter, 17% Left Cerebral Cortex | [Cerebellar Atlas in MNI152 space after normalization with FNIRT] No label found!
Multilingual Positive	48, 16, 4	0.0245	4.1	[Harvard-Oxford Cortical] 33% Frontal Operculum Cortex, 29% Inferior Frontal Gyrus, pars opercularis, 5% Inferior Frontal Gyrus, pars triangularis, 1% Central Opercular Cortex, 1% Frontal Orbital Cortex, 1% Precentral Gyrus | [Harvard-Oxford Subcortical] 77% Right Cerebral Cortex, 22% Right Cerebral White Matter | [Cerebellar Atlas in MNI152 space after normalization with FNIRT] No label found!
Multilingual Positive	2, -70, -10	0.0402	4.02	[Harvard-Oxford Cortical] 10% Lingual Gyrus | [Harvard-Oxford Subcortical] 10% Right Cerebral Cortex, 1% Left Cerebral Cortex, 0% Right Cerebral White Matter | [Cerebellar Atlas in MNI152 space after normalization with FNIRT] 25% Vermis VI, 11% Right VI, 2% Right V, 1% Left VI
Multilingual Negative	-12, 32, 0	0.000532	3.82	[Harvard-Oxford Cortical] No label found! | [Harvard-Oxford Subcortical] 99% Left Cerebral White Matter, 1% Left Lateral Ventricle, 0% Left Cerebral Cortex | [Cerebellar Atlas in MNI152 space after normalization with FNIRT] No label found!
Multilingual Negative	28, -34, -10	0.011	3.92	[Harvard-Oxford Cortical] 14% Parahippocampal Gyrus, posterior division, 4% Lingual Gyrus | [Harvard-Oxford Subcortical] 42% Right Cerebral White Matter, 40% Right Hippocampus, 18% Right Cerebral Cortex | [Cerebellar Atlas in MNI152 space after normalization with FNIRT] No label found!
Multilingual Negative	-38, -18, -18	0.0313	4.42	[Harvard-Oxford Subcortical] 66% Left Cerebral White Matter, 21% Left Cerebral Cortex, 4% Left Hippocampus | [Cerebellar Atlas in MNI152 space after normalization with FNIRT] No label found!
Aptitude Positive	56, -14, -4	0.00173	3.92	[Harvard-Oxford Cortical] 40% Superior Temporal Gyrus, posterior division, 6% Superior Temporal Gyrus, anterior division, 2% Middle Temporal Gyrus, posterior division, 2% Middle Temporal Gyrus, anterior division, 1% Planum Temporale, 1% Heschl's Gyrus (includes H1 and H2) | [Harvard-Oxford Subcortical] 58% Right Cerebral Cortex, 42% Right Cerebral White Matter | [Cerebellar Atlas in MNI152 space after normalization with FNIRT] No label found!
Interaction Positive	60, -8, 24	1.1e-09	4.6	[Harvard-Oxford Cortical] 43% Postcentral Gyrus, 13% Precentral Gyrus | [Harvard-Oxford Subcortical] 59% Right Cerebral Cortex, 40% Right Cerebral White Matter | [Cerebellar Atlas in MNI152 space after normalization with FNIRT] No label found!
Interaction Positive	-34, -32, 68	0.000102	3.55	[Harvard-Oxford Cortical] 60% Postcentral Gyrus, 7% Precentral Gyrus, 1% Superior Parietal Lobule | [Harvard-Oxford Subcortical] 73% Left Cerebral Cortex, 11% Left Cerebral White Matter | [Cerebellar Atlas in MNI152 space after normalization with FNIRT] No label found!
Interaction Positive	-56, -12, 36	0.0054	3.55	[Harvard-Oxford Cortical] 58% Postcentral Gyrus, 17% Precentral Gyrus | [Harvard-Oxford Subcortical] 80% Left Cerebral Cortex, 20% Left Cerebral White Matter | [Cerebellar Atlas in MNI152 space after normalization with FNIRT] No label found!
Interaction Positive	14, -2, -16	0.017	4.34	[Harvard-Oxford Subcortical] 35% Right Amygdala, 4% Right Cerebral Cortex, 4% Right Cerebral White Matter, 1% Right Hippocampus | [Cerebellar Atlas in MNI152 space after normalization with FNIRT] No label found!
Interaction Negative	46, -48, 30	0.0463	3.57	[Harvard-Oxford Cortical] 29% Angular Gyrus, 6% Supramarginal Gyrus, posterior division | [Harvard-Oxford Subcortical] 63% Right Cerebral White Matter, 37% Right Cerebral Cortex | [Cerebellar Atlas in MNI152 space after normalization with FNIRT] No label found!
