Participant,Cluster_1_Mean,Cluster_2_Mean
sub-pp128,-4.605624364421763,7.947441794631774
sub-pp107,-10.250315737402179,-1.4759599781674824
sub-pp050,-3.682716719070406,-4.846824671822595
sub-pp171,-0.672814835401753,17.9810628086078
sub-pp147,-28.4321373158719,-17.5775938531488
sub-pp145,2.1163530044017205,-16.524295823814686
sub-pp035,-4.5879601903873874,32.04545457217821
sub-pp054,-10.045198248899187,-11.146121385082472
sub-pp074,-17.332673943640657,-6.100506634413325
sub-pp073,-2.6482429005796577,-8.224987361209783
sub-pp038,14.75182952165233,4.90751731206938
sub-pp078,2.7612074057751146,14.30860385168017
sub-pp072,-12.517588573625286,-21.39566165562828
sub-pp006,9.973461939473847,-2.0527357760087006
sub-pp085,-21.580197190463217,-32.62468009107686
sub-pp095,-19.319599452144633,-25.554359614772842
sub-pp018,-17.56185173297889,-11.982403168454766
sub-pp013,0.513450797453514,8.724210216595019
sub-pp001,-5.823859158011144,21.611479310171777
sub-pp010,-25.074732151467636,-15.140338894415494
sub-pp120,-9.77260300500136,1.377237062364795
sub-pp118,0.5844969658375158,54.19421137496829
sub-pp163,10.786972080605773,-2.0494043059604192
sub-pp160,2.395200604827811,19.659137355619823
sub-pp158,-10.811548338554116,3.8878940213743967
sub-pp168,-9.973318385677253,-6.087376024421544
sub-pp170,18.71113233074252,17.563690002806137
sub-pp114,23.42374027193369,17.40279418902134
sub-pp117,-16.006585788720432,-12.360360085169038
sub-pp024,-20.024887316896468,29.837001972401527
sub-pp020,12.274572608630358,26.386299728611974
sub-pp008,-1.4772724518624842,-9.063635457209067
sub-pp135,-13.694024266318808,-20.006588126570858
sub-pp009,12.048163787697908,3.8889478773071993
sub-pp045,-7.587319949556368,-1.1593420458685237
sub-pp022,2.8526647253437067,12.169892447592135
sub-pp021,-32.5280161323272,11.293139960943607
sub-pp004,-10.61181941691172,3.5307380925296883
sub-pp069,-32.39868100636391,-33.636272356785994
sub-pp126,-34.84822101133237,-24.041855185777386
sub-pp137,-3.324035084405175,-5.65383329553998
sub-pp067,-20.474466834060884,-31.64273653512995
sub-pp166,-1.4502625735520065,8.551846324131219
sub-pp111,6.398607376922345,4.906520254418972
sub-pp099,10.711477463214743,19.055164120426912
sub-pp151,-49.860334534296534,-13.973459696451648
sub-pp152,21.859761547360968,11.36071678823846
sub-pp156,1.8464203136734096,14.184764198806377
sub-pp149,-7.795842851707668,-29.862415940070537
sub-pp159,5.189178774483838,0.09629091448613514
sub-pp116,9.075812585101481,18.057295025010426
sub-pp115,-13.534694659852454,0.2504784646634644
sub-pp108,-17.63782076892178,9.301418491647366
sub-pp007,-13.463958685432631,-8.137483086581314
sub-pp105,3.6928549657378804,-14.728864186443388
sub-pp124,-33.16182190587695,-7.751193198636317
sub-pp030,7.746485115977621,0.9783940480597186
sub-pp164,-8.035645354617369,1.9809143317070903
sub-pp155,0.5033459626471343,9.806358476483933
sub-pp150,-21.139573883491206,-3.7927466766195295
sub-pp162,-50.95861979721123,-59.39442653213328
sub-pp106,-0.39471517845844883,-0.021261296112482484
sub-pp076,4.020228343433067,22.204254576162985
sub-pp048,-21.005853956770935,-12.928948105176726
sub-pp042,9.640523565426168,18.045395213293663
sub-pp052,-12.205822618710076,-34.50773882692168
sub-pp068,-0.23168983797124162,-0.9944466198222679
sub-pp092,29.883287705817082,-2.4621790063278803
sub-pp093,-35.68687466322263,-1.5472709486664038
sub-pp032,-41.39658305748811,23.399835442677578
sub-pp125,16.984459234491386,-9.51620540910602
sub-pp023,-8.962528265824377,-33.76610446628728
sub-pp025,0.7703406995113122,10.700700810625714
sub-pp033,0.23434701152899032,10.991066820716638
sub-pp112,-33.193929272713966,-18.97618982665328
sub-pp019,-1.0217643358830137,10.086193615476715
sub-pp110,-22.694163155639153,-48.764063392117706
sub-pp027,15.290075074597429,12.421478582981822
