Participant,Cluster_1_Mean,Cluster_2_Mean,Cluster_3_Mean
sub-pp128,53.36586791834133,33.373715806851884,51.43298870262493
sub-pp107,22.460061140539537,-0.22608728961563943,1.4843494075349377
sub-pp050,12.07516594077152,2.7643927144645897,4.598560083758093
sub-pp171,17.184380683164374,14.082240915029201,21.523889076872106
sub-pp147,-4.939832780557947,-6.78433367239361,-0.1527328575196374
sub-pp145,10.297003333777205,-4.102688914098924,4.025090526298176
sub-pp035,12.54618612703923,-15.064289590418415,-0.8907233655285373
sub-pp054,0.7197363646621378,8.579318669342552,-0.05792525145926164
sub-pp074,-15.123914633165153,-6.993190000591,-4.743893037730819
sub-pp073,14.54400544389127,10.51810260888694,15.36230094472268
sub-pp038,11.617933146591879,11.736923499040504,10.473016478041407
sub-pp078,25.083360875948753,-6.8427115561635645,4.0379557602176535
sub-pp072,16.3472732906986,10.731568624695775,17.469787658585833
sub-pp006,3.214546597270697,7.503763245038106,4.854602590110642
sub-pp085,17.8813283034067,-2.036285485904014,6.063107353530807
sub-pp095,-2.114864786529643,-19.434818119988673,-17.660410033313987
sub-pp018,8.486736364492502,1.5063222342360099,4.484882658430622
sub-pp013,9.815070976582794,-2.506064411868758,-6.414911087084009
sub-pp001,1.4533617462700186,-9.615338597133052,-4.870407236831278
sub-pp010,-11.223554378717692,-12.140881239762626,-6.633721857848091
sub-pp120,7.518621383636839,-9.514379222418356,-7.682865340590842
sub-pp118,39.25160231269323,28.76431519267373,30.488837467799943
sub-pp163,16.856663043984874,5.852942813849755,0.6671708059739517
sub-pp160,17.904657426250413,4.52564918132235,3.7530270285155822
sub-pp158,24.958394151117304,6.6498212022286145,13.505293260710456
sub-pp168,8.877124320379355,-3.2803974051508495,-0.08695352652850219
sub-pp170,10.86595543506595,12.142191350485392,15.552546858114583
sub-pp114,3.264641754256072,2.9395191160918,1.1989464762006221
sub-pp117,-8.020212104615684,-2.2469282510931348,-1.0304487372396456
sub-pp024,19.117404930499525,5.825460248970038,3.440351873899233
sub-pp020,11.94216196411727,-6.705999855048492,-0.018879616931906727
sub-pp008,-7.574000904336572,-9.24074703403421,3.6948657121091673
sub-pp135,1.2953883775661135,-15.544717922695822,-4.507836142649424
sub-pp009,0.11761113852222697,-1.5676742770725351,-4.292349450494168
sub-pp045,1.4767927014165454,5.094415647243542,7.839940054380084
sub-pp022,16.37543861962791,2.409028964054061,10.090931915745461
sub-pp021,-18.395424126531992,-13.643582000653403,-16.801068771087163
sub-pp004,-3.3749920131208806,-15.902941492967043,-6.5230368524996285
sub-pp069,-6.387386763250479,-23.45898461919584,-11.97609997920115
sub-pp126,-15.660289111204891,-7.53855406240803,-5.983719122649946
sub-pp137,-3.8926052284371266,-19.33940848789237,-6.847922512668824
sub-pp067,3.9602938706262245,-1.8784476033487458,8.542853318472272
sub-pp166,16.91001605705764,6.345056265864131,10.044828427601237
sub-pp111,7.775393414852393,0.7607778209955786,4.821349459484572
sub-pp099,59.077654940004535,12.483707085687827,24.21197747929041
sub-pp151,24.785710112852417,-1.8865041503007667,7.6853672567825075
sub-pp152,-4.492025995734506,5.669532843942741,2.317277860545739
sub-pp156,1.398311562064048,-2.298586891734594,2.740045644924297
sub-pp149,-2.372172912626535,-7.0215085848667025,1.2265951536360002
sub-pp159,-2.9475795429191973,-2.1788852033501747,8.146951680582141
sub-pp116,-1.7812205417177234,-1.35185403903101,3.1349403480988305
sub-pp115,-42.14346249267841,-0.02672952485463947,-13.123138118007132
sub-pp108,13.804800331019438,4.781052191341124,6.711918803797209
sub-pp007,16.078116852519475,10.669208732108515,12.848780544734447
sub-pp105,-18.41996126742954,-2.3725092127781506,-3.316735185570298
sub-pp124,-11.34252940877699,-13.962147043484839,-17.185006817254635
sub-pp030,19.920248471200466,9.242408539464954,11.268286774667413
sub-pp164,8.478899340490555,0.4503689482808113,-7.4618312084689835
sub-pp155,13.776137175229497,8.934001881264923,10.567019883589099
sub-pp150,6.664794297530674,19.8904930918728,13.977209279587537
